Image,Label
0.jpg,1
1.jpg,0
2.jpg,0
3.jpg,0
4.jpg,0
5.jpg,0
6.jpg,1
7.jpg,1
8.jpg,0
9.jpg,1
10.jpg,1
11.jpg,0
12.jpg,1
13.jpg,0
14.jpg,1
15.jpg,1
16.jpg,0
17.jpg,1
18.jpg,0
19.jpg,0
20.jpg,1
21.jpg,0
22.jpg,0
23.jpg,0
24.jpg,0
25.jpg,0
26.jpg,0
27.jpg,0
28.jpg,1
29.jpg,0
30.jpg,1
31.jpg,0
32.jpg,1
33.jpg,1
34.jpg,1
35.jpg,0
36.jpg,1
37.jpg,1
38.jpg,0
39.jpg,1
40.jpg,1
41.jpg,0
42.jpg,0
43.jpg,1
44.jpg,1
45.jpg,0
46.jpg,1
47.jpg,0
48.jpg,0
49.jpg,0
50.jpg,0
51.jpg,0
52.jpg,1
53.jpg,1
54.jpg,1
55.jpg,1
56.jpg,1
57.jpg,0
58.jpg,1
59.jpg,0
60.jpg,0
61.jpg,1
62.jpg,1
63.jpg,0
64.jpg,0
65.jpg,0
66.jpg,0
67.jpg,1
68.jpg,0
69.jpg,0
70.jpg,1
71.jpg,0
72.jpg,0
73.jpg,1
74.jpg,1
75.jpg,1
76.jpg,1
77.jpg,1
78.jpg,0
79.jpg,0
80.jpg,0
81.jpg,1
82.jpg,1
83.jpg,0
84.jpg,0
85.jpg,1
86.jpg,1
87.jpg,0
88.jpg,0
89.jpg,0
90.jpg,1
91.jpg,0
92.jpg,1
93.jpg,1
94.jpg,0
95.jpg,1
96.jpg,0
97.jpg,1
98.jpg,0
99.jpg,0
100.jpg,0
101.jpg,0
102.jpg,0
103.jpg,0
104.jpg,1
105.jpg,1
106.jpg,1
107.jpg,0
108.jpg,1
109.jpg,1
110.jpg,0
111.jpg,0
112.jpg,1
113.jpg,1
114.jpg,1
115.jpg,0
116.jpg,1
117.jpg,1
118.jpg,0
119.jpg,0
120.jpg,1
121.jpg,0
122.jpg,0
123.jpg,0
124.jpg,0
125.jpg,0
126.jpg,0
127.jpg,1
128.jpg,1
129.jpg,1
130.jpg,1
131.jpg,0
132.jpg,0
133.jpg,1
134.jpg,1
135.jpg,0
136.jpg,0
137.jpg,1
138.jpg,1
139.jpg,0
140.jpg,0
141.jpg,0
142.jpg,0
143.jpg,0
144.jpg,0
145.jpg,1
146.jpg,1
147.jpg,1
148.jpg,1
149.jpg,0
150.jpg,0
151.jpg,0
152.jpg,0
153.jpg,0
154.jpg,0
155.jpg,1
156.jpg,1
157.jpg,0
158.jpg,1
159.jpg,0
160.jpg,0
161.jpg,1
162.jpg,1
163.jpg,1
164.jpg,1
165.jpg,1
166.jpg,1
167.jpg,0
168.jpg,0
169.jpg,1
170.jpg,0
171.jpg,1
172.jpg,0
173.jpg,0
174.jpg,1
175.jpg,1
176.jpg,1
177.jpg,1
178.jpg,0
179.jpg,1
180.jpg,0
181.jpg,1
182.jpg,0
183.jpg,1
184.jpg,1
185.jpg,0
186.jpg,1
187.jpg,1
188.jpg,1
189.jpg,1
190.jpg,1
